age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
46;blue-collar;married;secondary;no;123;no;no;cellular;20;aug;381;3;-1;0;unknown;no
26;services;single;secondary;no;1347;no;no;telephone;18;jun;280;6;92;5;other;yes
29;services;single;unknown;no;33;no;no;unknown;1;jul;161;1;-1;0;unknown;no
32;management;married;tertiary;no;2431;yes;no;cellular;14;may;646;5;-1;0;unknown;yes
30;management;single;tertiary;no;940;no;no;cellular;8;aug;131;2;-1;0;unknown;no
52;management;single;tertiary;no;4;no;yes;cellular;28;jul;30;9;-1;0;unknown;no
40;housemaid;married;primary;no;1832;no;no;cellular;6;feb;213;4;-1;0;unknown;no
40;management;married;tertiary;no;294;yes;no;cellular;23;jul;97;5;-1;0;unknown;no
38;technician;single;tertiary;no;221;no;no;cellular;20;aug;79;3;-1;0;unknown;no
38;entrepreneur;married;secondary;yes;15;yes;no;cellular;10;jul;121;1;-1;0;unknown;no
37;management;married;tertiary;no;0;yes;no;unknown;3;jun;247;13;-1;0;unknown;no
34;technician;single;tertiary;no;925;yes;no;cellular;13;apr;709;1;-1;0;unknown;yes
54;retired;divorced;tertiary;no;6102;yes;yes;unknown;21;may;86;6;-1;0;unknown;no
49;management;divorced;tertiary;no;1904;no;yes;cellular;17;nov;131;2;-1;0;unknown;no
34;entrepreneur;married;tertiary;no;4343;no;no;unknown;9;jun;85;4;-1;0;unknown;no
37;technician;married;secondary;no;1063;yes;no;cellular;31;jul;413;2;-1;0;unknown;no
46;technician;married;secondary;no;1427;yes;no;unknown;14;may;32;3;-1;0;unknown;no
49;technician;divorced;secondary;no;265;yes;no;unknown;12;may;274;6;-1;0;unknown;no
35;blue-collar;married;secondary;no;243;yes;no;cellular;20;apr;41;3;-1;0;unknown;no
38;blue-collar;married;secondary;no;2008;yes;no;cellular;18;nov;354;1;-1;0;unknown;no
42;blue-collar;married;unknown;no;-406;yes;no;cellular;30;jul;152;5;-1;0;unknown;no
29;technician;married;secondary;no;444;yes;no;cellular;21;jul;130;4;-1;0;unknown;no
35;management;divorced;tertiary;no;649;no;no;cellular;16;apr;177;1;-1;0;unknown;no
31;technician;single;secondary;no;1626;no;no;cellular;7;may;356;2;286;3;failure;no
19;student;single;secondary;no;302;no;no;cellular;16;jul;205;1;-1;0;unknown;yes
52;retired;married;secondary;no;424;no;no;cellular;19;nov;143;1;154;3;failure;no
50;admin.;married;secondary;no;0;no;no;cellular;4;aug;86;4;-1;0;unknown;no
37;technician;divorced;secondary;no;23;no;no;cellular;20;aug;289;2;-1;0;unknown;no
26;admin.;married;secondary;no;2469;no;no;cellular;16;jul;136;8;-1;0;unknown;no
45;admin.;married;primary;no;542;no;no;cellular;11;may;8;5;350;3;other;no
35;technician;married;secondary;no;13658;yes;no;telephone;9;dec;220;2;-1;0;unknown;no
42;blue-collar;married;secondary;no;117;yes;no;unknown;9;may;147;1;-1;0;unknown;no
37;blue-collar;single;primary;no;6969;yes;no;unknown;20;may;412;1;-1;0;unknown;no
45;admin.;divorced;secondary;no;0;no;no;cellular;29;oct;264;1;-1;0;unknown;yes
43;blue-collar;married;secondary;no;3060;yes;no;unknown;15;may;253;2;-1;0;unknown;no
39;entrepreneur;married;secondary;no;0;no;no;cellular;21;nov;108;7;-1;0;unknown;no
52;management;married;tertiary;no;1944;yes;no;cellular;15;apr;238;3;323;2;failure;no
38;technician;single;secondary;no;0;yes;no;cellular;7;apr;196;2;-1;0;unknown;no
28;management;single;tertiary;no;3238;yes;no;unknown;19;may;7;1;-1;0;unknown;no
43;management;married;secondary;no;481;yes;no;telephone;18;nov;164;1;110;2;other;no
57;retired;married;tertiary;no;0;yes;yes;unknown;28;may;648;1;-1;0;unknown;yes
48;blue-collar;married;secondary;no;705;no;no;unknown;13;may;108;2;-1;0;unknown;no
34;blue-collar;married;primary;no;428;yes;no;cellular;18;may;59;2;-1;0;unknown;no
34;self-employed;married;primary;no;712;yes;no;unknown;2;jun;326;3;-1;0;unknown;no
31;management;married;tertiary;no;1224;yes;yes;cellular;24;jul;1441;2;-1;0;unknown;yes
45;admin.;married;secondary;no;638;yes;no;cellular;20;aug;75;9;-1;0;unknown;no
69;retired;single;tertiary;no;2144;no;no;cellular;29;jul;417;1;184;4;success;yes
35;self-employed;married;tertiary;no;560;yes;no;cellular;2;apr;58;1;136;1;failure;no
56;admin.;married;secondary;no;0;yes;no;telephone;19;nov;154;2;-1;0;unknown;no
34;management;single;tertiary;no;2679;yes;no;cellular;7;may;195;1;-1;0;unknown;no
32;services;married;secondary;no;180;yes;no;telephone;15;may;45;2;-1;0;unknown;no
28;admin.;single;secondary;no;1323;yes;no;unknown;3;jun;361;1;-1;0;unknown;no
55;technician;divorced;secondary;no;3450;no;no;cellular;10;feb;169;1;183;1;failure;yes
36;management;married;tertiary;no;1477;no;no;cellular;7;aug;71;2;-1;0;unknown;no
48;services;married;primary;yes;-583;yes;no;unknown;2;jun;25;7;-1;0;unknown;no
39;self-employed;married;secondary;no;4722;yes;no;unknown;17;jun;483;1;-1;0;unknown;no
46;management;divorced;tertiary;no;134;no;no;cellular;19;aug;134;2;-1;0;unknown;no
45;blue-collar;single;secondary;no;0;yes;no;cellular;26;jul;768;2;91;5;success;no
45;technician;single;tertiary;no;0;yes;no;cellular;18;nov;139;2;-1;0;unknown;no
55;management;divorced;tertiary;no;-612;no;no;cellular;26;aug;131;2;-1;0;unknown;no
42;management;single;tertiary;no;100;no;no;cellular;7;aug;64;2;-1;0;unknown;no
56;technician;married;secondary;no;359;yes;no;unknown;6;jun;220;4;-1;0;unknown;no
54;self-employed;divorced;primary;no;4382;yes;no;telephone;18;may;193;4;-1;0;unknown;no
37;blue-collar;married;secondary;no;954;yes;no;unknown;2;jun;402;9;-1;0;unknown;no
29;technician;married;secondary;no;1599;yes;no;cellular;8;jul;115;1;61;1;failure;no
32;blue-collar;married;secondary;no;1905;yes;no;cellular;16;jul;709;2;-1;0;unknown;yes
56;management;divorced;tertiary;no;-59;no;yes;cellular;28;jul;127;6;-1;0;unknown;no
43;blue-collar;single;primary;no;30;yes;no;unknown;30;may;379;17;-1;0;unknown;no
35;blue-collar;married;secondary;no;305;yes;no;cellular;18;may;7;7;367;25;failure;no
31;admin.;married;secondary;no;0;yes;yes;cellular;18;nov;79;3;-1;0;unknown;no
45;management;married;tertiary;no;1929;yes;no;unknown;29;may;44;15;-1;0;unknown;no
30;management;married;tertiary;no;1942;yes;yes;cellular;21;nov;436;2;178;3;other;yes
34;management;single;tertiary;no;318;yes;no;unknown;9;may;133;2;-1;0;unknown;no
31;management;married;tertiary;no;459;no;no;cellular;28;aug;13;14;-1;0;unknown;no
24;blue-collar;married;secondary;no;9;yes;no;unknown;27;may;292;7;-1;0;unknown;no
66;retired;married;tertiary;no;2262;no;no;cellular;22;apr;155;1;-1;0;unknown;no
55;unemployed;married;tertiary;no;4809;yes;no;cellular;21;nov;223;2;186;3;other;no
43;blue-collar;single;secondary;no;24;no;no;cellular;12;may;68;1;363;1;failure;no
27;student;single;tertiary;no;-148;yes;no;cellular;11;sep;146;3;224;1;other;no
56;unemployed;divorced;primary;no;802;no;no;telephone;3;feb;258;2;-1;0;unknown;no
34;management;single;tertiary;no;171;yes;no;cellular;7;may;191;1;294;1;failure;no
51;management;married;tertiary;no;1612;no;no;cellular;16;mar;384;1;182;5;failure;no
37;admin.;single;secondary;no;-296;yes;no;cellular;20;apr;81;1;-1;0;unknown;no
30;unemployed;married;tertiary;no;0;yes;no;cellular;18;nov;756;1;-1;0;unknown;no
28;services;single;secondary;no;94;yes;no;cellular;16;apr;300;1;-1;0;unknown;no
36;admin.;married;secondary;no;725;yes;no;cellular;27;feb;123;3;99;8;failure;no
50;housemaid;divorced;primary;no;94;yes;no;cellular;22;jul;184;4;-1;0;unknown;no
43;entrepreneur;married;tertiary;no;1574;yes;no;cellular;19;nov;167;3;-1;0;unknown;no
35;technician;married;secondary;no;0;yes;no;cellular;9;nov;524;1;96;5;success;yes
25;technician;single;secondary;no;-80;yes;yes;unknown;3;jun;89;1;-1;0;unknown;no
39;services;divorced;secondary;no;282;yes;no;cellular;17;jul;243;1;-1;0;unknown;no
40;management;married;tertiary;no;10786;no;no;unknown;20;jun;111;3;-1;0;unknown;no
40;technician;married;secondary;no;257;yes;no;unknown;16;may;731;4;-1;0;unknown;no
32;technician;married;tertiary;no;-1053;yes;no;cellular;21;jul;357;3;-1;0;unknown;no
38;services;married;secondary;no;1;no;yes;cellular;21;nov;152;2;-1;0;unknown;no
24;blue-collar;single;unknown;no;431;yes;no;unknown;3;jun;108;12;-1;0;unknown;no
60;self-employed;single;secondary;no;27;no;no;cellular;22;aug;40;2;-1;0;unknown;no
58;entrepreneur;married;secondary;no;2;no;no;unknown;16;jun;684;1;-1;0;unknown;no
37;blue-collar;married;secondary;no;685;yes;no;unknown;6;jun;968;1;-1;0;unknown;no
33;management;single;primary;no;4897;yes;no;unknown;20;may;151;1;-1;0;unknown;no
39;admin.;single;secondary;no;163;yes;no;cellular;30;jan;107;2;-1;0;unknown;no
31;technician;married;secondary;no;589;yes;yes;unknown;21;may;151;1;-1;0;unknown;no
43;management;divorced;tertiary;no;99;no;no;cellular;29;jan;24;3;-1;0;unknown;no
46;self-employed;married;tertiary;no;137;yes;yes;unknown;5;may;246;1;-1;0;unknown;no
30;management;single;tertiary;no;-218;yes;no;cellular;27;aug;13;15;-1;0;unknown;no
42;technician;married;secondary;no;440;yes;no;cellular;3;feb;13;5;-1;0;unknown;no
35;admin.;married;secondary;no;725;yes;no;cellular;20;nov;219;7;133;1;failure;no
39;services;married;secondary;no;0;yes;no;unknown;20;may;793;2;-1;0;unknown;no
33;services;married;secondary;no;0;yes;no;telephone;22;jul;44;8;-1;0;unknown;no
57;technician;married;secondary;no;6164;no;no;cellular;19;nov;161;2;-1;0;unknown;no
34;blue-collar;married;primary;no;176;no;no;cellular;24;jul;78;1;-1;0;unknown;no
32;self-employed;married;secondary;no;217;yes;yes;cellular;15;jul;317;5;-1;0;unknown;no
37;technician;married;secondary;no;4030;yes;no;unknown;26;may;178;5;-1;0;unknown;no
33;management;divorced;secondary;no;106;no;no;cellular;20;aug;175;3;-1;0;unknown;no
32;management;single;tertiary;no;3616;no;no;cellular;14;aug;165;2;-1;0;unknown;no
49;entrepreneur;divorced;unknown;yes;-701;yes;no;cellular;30;jul;988;2;-1;0;unknown;yes
53;retired;married;tertiary;no;-22;yes;no;cellular;31;jul;20;3;-1;0;unknown;no
28;student;single;tertiary;no;0;no;no;cellular;28;sep;294;2;105;7;other;yes
26;blue-collar;single;secondary;no;179;no;no;cellular;30;jul;103;3;-1;0;unknown;no
25;entrepreneur;single;tertiary;no;16874;yes;yes;cellular;15;may;117;2;-1;0;unknown;no
35;housemaid;married;tertiary;no;20;yes;yes;cellular;17;jul;505;3;-1;0;unknown;no
45;services;married;secondary;no;-839;yes;no;unknown;28;may;68;1;-1;0;unknown;no
30;blue-collar;single;primary;no;71;yes;no;unknown;19;may;122;6;-1;0;unknown;no
71;retired;married;tertiary;no;14220;yes;no;cellular;9;sep;397;1;-1;0;unknown;yes
45;admin.;married;secondary;no;194;no;no;cellular;31;jul;517;4;-1;0;unknown;no
51;blue-collar;divorced;primary;no;837;no;no;telephone;30;jul;41;2;-1;0;unknown;no
29;blue-collar;single;secondary;no;309;yes;no;cellular;11;may;471;3;-1;0;unknown;no
39;blue-collar;married;unknown;no;157;yes;no;unknown;30;may;99;6;-1;0;unknown;no
48;technician;married;tertiary;no;0;no;no;telephone;26;aug;176;15;-1;0;unknown;no
35;self-employed;single;tertiary;no;44;no;no;cellular;7;sep;310;2;96;2;other;no
26;management;single;secondary;no;63;no;no;cellular;28;jul;76;4;-1;0;unknown;no
52;technician;married;tertiary;no;0;no;no;cellular;9;aug;145;3;94;4;success;no
53;blue-collar;married;primary;no;25;yes;no;unknown;6;may;266;3;-1;0;unknown;no
46;management;divorced;secondary;no;361;yes;no;unknown;19;may;86;7;-1;0;unknown;no
37;blue-collar;married;primary;no;0;yes;no;cellular;6;may;226;1;363;3;other;no
45;blue-collar;married;primary;no;419;no;no;cellular;18;aug;113;4;-1;0;unknown;no
32;technician;single;tertiary;no;1625;no;no;cellular;22;may;796;1;109;1;failure;yes
42;technician;married;secondary;no;4945;yes;no;cellular;2;mar;311;2;-1;0;unknown;yes
31;self-employed;single;tertiary;no;96;no;no;cellular;5;feb;577;1;-1;0;unknown;no
33;management;married;tertiary;no;641;yes;no;cellular;13;aug;347;2;-1;0;unknown;no
53;blue-collar;married;secondary;no;70;yes;no;unknown;5;may;611;2;-1;0;unknown;no
34;technician;divorced;secondary;no;0;yes;yes;cellular;18;aug;374;16;-1;0;unknown;no
38;admin.;divorced;secondary;no;156;yes;no;unknown;17;jun;544;3;-1;0;unknown;no
35;admin.;divorced;secondary;no;148;no;yes;cellular;8;jul;199;1;-1;0;unknown;no
46;management;married;tertiary;no;523;yes;no;cellular;6;may;105;4;366;2;failure;no
50;blue-collar;married;secondary;no;372;yes;no;telephone;11;may;21;1;-1;0;unknown;no
33;technician;married;secondary;no;6699;no;no;cellular;9;nov;425;1;462;1;failure;no
32;technician;single;secondary;no;309;yes;yes;cellular;16;apr;346;1;234;3;failure;no
35;self-employed;married;tertiary;no;980;no;no;cellular;2;aug;428;2;336;6;failure;no
30;management;single;tertiary;no;47;no;yes;cellular;31;jul;11;17;-1;0;unknown;no
54;management;married;tertiary;no;384;yes;no;cellular;12;may;30;7;-1;0;unknown;no
29;blue-collar;single;tertiary;no;455;no;no;telephone;21;apr;403;1;-1;0;unknown;yes
48;management;married;tertiary;no;586;yes;yes;cellular;6;may;179;2;-1;0;unknown;no
34;blue-collar;married;secondary;no;2542;yes;no;cellular;14;may;228;1;-1;0;unknown;no
41;housemaid;single;secondary;no;231;no;no;cellular;9;jul;76;2;-1;0;unknown;no
36;management;married;tertiary;no;2987;yes;no;cellular;12;aug;307;1;-1;0;unknown;yes
59;blue-collar;married;unknown;no;139;no;no;unknown;5;jun;153;1;-1;0;unknown;no
30;management;single;tertiary;no;329;yes;no;unknown;6;jun;122;16;-1;0;unknown;no
48;services;married;secondary;yes;-20;no;no;cellular;20;aug;142;2;-1;0;unknown;no
37;admin.;married;secondary;no;176;yes;no;cellular;5;may;147;2;347;1;failure;no
22;student;single;secondary;no;246;yes;no;telephone;12;may;25;1;-1;0;unknown;no
30;management;married;tertiary;no;562;no;no;cellular;21;aug;137;4;-1;0;unknown;no
76;retired;married;primary;no;2590;no;no;telephone;9;feb;68;12;-1;0;unknown;no
26;blue-collar;single;secondary;no;-32;yes;yes;cellular;31;jul;14;6;-1;0;unknown;no
49;blue-collar;married;primary;no;0;yes;yes;telephone;23;jul;97;6;-1;0;unknown;no
45;blue-collar;married;primary;no;61;no;no;cellular;17;apr;108;1;-1;0;unknown;no
34;technician;single;tertiary;no;992;yes;no;cellular;4;may;301;1;88;2;success;no
31;management;married;tertiary;no;430;yes;no;cellular;25;jul;137;16;-1;0;unknown;no
26;services;single;secondary;no;5533;yes;no;cellular;7;may;582;2;283;4;failure;no
42;blue-collar;married;secondary;no;230;yes;no;unknown;5;jun;175;7;-1;0;unknown;no
35;management;married;tertiary;no;1253;yes;no;unknown;19;may;210;2;-1;0;unknown;no
29;admin.;married;secondary;no;22171;yes;no;cellular;18;may;44;1;355;3;failure;no
47;services;married;secondary;no;440;yes;no;unknown;12;jun;91;1;-1;0;unknown;no
45;self-employed;married;secondary;no;706;no;no;cellular;30;apr;78;2;176;1;success;no
37;entrepreneur;married;tertiary;no;2685;no;no;unknown;20;jun;187;2;-1;0;unknown;no
41;management;married;tertiary;no;51;no;no;cellular;25;aug;140;8;-1;0;unknown;no
30;admin.;married;secondary;no;124;no;no;telephone;16;jun;161;2;-1;0;unknown;no
58;blue-collar;married;secondary;no;-27;no;yes;telephone;31;jul;77;13;-1;0;unknown;no
53;management;married;primary;no;4086;no;no;unknown;20;jun;14;3;-1;0;unknown;no
45;admin.;married;secondary;no;-388;yes;no;cellular;14;jul;175;2;-1;0;unknown;no
34;management;single;tertiary;no;184;no;no;cellular;22;jul;203;4;-1;0;unknown;no
31;management;married;tertiary;no;1331;no;no;cellular;30;apr;297;1;86;3;success;yes
39;technician;single;tertiary;no;1043;no;no;cellular;18;aug;195;10;-1;0;unknown;no
36;admin.;single;secondary;no;319;yes;no;cellular;18;may;120;2;-1;0;unknown;no
27;admin.;married;secondary;no;1033;yes;no;unknown;9;may;1713;1;-1;0;unknown;no
53;technician;married;unknown;no;619;no;no;unknown;17;jun;198;6;-1;0;unknown;no
49;services;married;secondary;no;1122;no;no;cellular;4;aug;143;1;-1;0;unknown;no
47;technician;married;secondary;no;2246;yes;no;cellular;10;jul;330;1;-1;0;unknown;no
41;unemployed;divorced;secondary;no;1281;no;no;cellular;31;jul;45;3;-1;0;unknown;no
56;management;divorced;tertiary;no;2959;yes;no;telephone;18;may;325;1;-1;0;unknown;no
48;technician;single;tertiary;no;-551;yes;no;cellular;11;may;168;2;-1;0;unknown;no
41;management;married;primary;no;5310;yes;no;cellular;17;nov;984;1;-1;0;unknown;yes
49;self-employed;married;secondary;no;1103;no;no;cellular;12;aug;428;2;-1;0;unknown;no
36;blue-collar;married;primary;no;398;yes;no;unknown;12;jun;278;1;-1;0;unknown;no
58;retired;married;secondary;no;35;no;no;cellular;29;jul;336;7;-1;0;unknown;no
33;blue-collar;married;secondary;no;331;yes;no;cellular;14;may;178;7;365;5;other;no
60;management;married;secondary;no;725;yes;no;cellular;8;jul;266;1;-1;0;unknown;no
36;management;single;tertiary;no;2806;yes;no;unknown;30;may;358;4;-1;0;unknown;no
43;management;married;tertiary;no;422;no;no;cellular;12;aug;110;1;-1;0;unknown;no
37;services;married;secondary;no;4760;yes;no;cellular;8;may;182;2;169;2;failure;no
53;blue-collar;single;secondary;no;5715;no;no;cellular;28;jan;287;2;-1;0;unknown;no
59;retired;married;primary;no;1427;no;no;unknown;18;jun;140;2;-1;0;unknown;no
55;blue-collar;married;secondary;no;989;yes;yes;unknown;23;may;246;4;-1;0;unknown;no
24;technician;married;secondary;no;556;yes;no;cellular;18;aug;460;2;-1;0;unknown;yes
61;admin.;married;secondary;no;4608;no;no;cellular;12;mar;212;1;-1;0;unknown;yes
44;blue-collar;married;secondary;no;-674;yes;no;unknown;5;may;257;1;-1;0;unknown;no
34;management;married;tertiary;no;0;no;no;cellular;20;aug;263;2;-1;0;unknown;no
40;self-employed;married;primary;no;2077;yes;no;cellular;13;may;363;1;173;24;other;no
35;admin.;single;secondary;no;0;yes;no;cellular;13;may;1073;1;-1;0;unknown;yes
33;blue-collar;married;secondary;no;889;yes;no;unknown;18;sep;13;1;373;6;success;no
35;blue-collar;married;secondary;no;1257;yes;no;cellular;20;apr;93;3;329;7;failure;no
27;management;single;tertiary;no;88;no;no;cellular;4;may;143;1;-1;0;unknown;no
38;services;married;secondary;no;434;yes;no;unknown;20;may;411;1;-1;0;unknown;no
23;technician;single;tertiary;no;1129;yes;no;unknown;28;may;806;1;-1;0;unknown;yes
27;student;single;tertiary;no;5291;no;no;cellular;12;nov;192;2;92;2;failure;yes
27;housemaid;married;secondary;no;4848;yes;yes;telephone;23;jul;82;3;-1;0;unknown;no
54;blue-collar;married;secondary;no;2059;yes;no;cellular;25;aug;177;4;-1;0;unknown;no
31;management;married;tertiary;no;4945;no;no;cellular;11;aug;445;1;-1;0;unknown;no
27;services;single;secondary;no;795;no;no;cellular;6;feb;101;3;-1;0;unknown;no
37;technician;divorced;secondary;no;2610;yes;no;cellular;13;may;53;1;-1;0;unknown;no
61;management;married;tertiary;no;997;no;no;cellular;10;mar;106;1;-1;0;unknown;yes
29;services;single;secondary;no;209;yes;no;cellular;28;jul;487;7;-1;0;unknown;no
31;unemployed;single;secondary;no;315;no;no;cellular;30;jan;130;1;2;1;other;no
38;management;married;tertiary;no;2278;yes;yes;cellular;13;may;244;1;-1;0;unknown;no
29;blue-collar;married;secondary;no;424;yes;yes;unknown;14;may;241;2;-1;0;unknown;no
58;blue-collar;divorced;primary;no;8218;yes;no;cellular;31;jul;124;10;-1;0;unknown;no
55;blue-collar;married;primary;no;2275;no;no;cellular;25;aug;139;9;-1;0;unknown;no
59;management;married;secondary;no;42;no;no;cellular;21;nov;40;1;-1;0;unknown;no
35;admin.;married;secondary;no;786;no;yes;cellular;25;jul;322;1;-1;0;unknown;no
34;admin.;married;tertiary;no;37;no;no;cellular;6;feb;45;1;-1;0;unknown;no
46;retired;married;primary;no;-35;yes;no;cellular;7;may;304;3;-1;0;unknown;no
42;self-employed;married;tertiary;no;0;no;no;cellular;8;aug;118;6;-1;0;unknown;no
33;admin.;married;secondary;no;95;yes;no;cellular;30;apr;335;1;-1;0;unknown;yes
32;services;married;secondary;no;-632;yes;yes;cellular;20;apr;18;5;-1;0;unknown;no
28;blue-collar;married;primary;no;702;yes;no;unknown;26;jun;318;2;-1;0;unknown;no
46;blue-collar;married;secondary;no;182;no;no;cellular;4;feb;56;1;-1;0;unknown;no
33;management;divorced;tertiary;yes;280;no;yes;cellular;18;nov;155;1;-1;0;unknown;no
39;admin.;divorced;secondary;no;399;yes;yes;cellular;14;aug;133;2;-1;0;unknown;no
42;blue-collar;divorced;secondary;no;1491;yes;no;cellular;6;may;203;2;334;2;failure;no
41;management;married;tertiary;no;5883;no;no;cellular;20;nov;182;2;-1;0;unknown;no
47;blue-collar;married;primary;no;233;no;no;cellular;8;aug;293;3;-1;0;unknown;no
41;self-employed;single;tertiary;no;3950;yes;no;unknown;30;may;96;2;-1;0;unknown;no
60;services;married;tertiary;no;4256;yes;no;cellular;16;aug;239;3;761;1;other;yes
48;management;married;secondary;no;99;yes;no;unknown;28;may;344;1;-1;0;unknown;no
33;technician;single;secondary;no;920;yes;no;cellular;21;nov;58;1;122;4;failure;no
45;blue-collar;married;secondary;no;4022;yes;no;cellular;29;jan;244;3;-1;0;unknown;no
55;blue-collar;married;primary;no;1649;yes;no;cellular;12;may;52;3;-1;0;unknown;no
31;management;married;tertiary;yes;-253;no;no;cellular;12;aug;220;4;-1;0;unknown;no
46;admin.;married;secondary;no;22;no;no;cellular;26;aug;388;6;-1;0;unknown;yes
47;management;divorced;tertiary;no;2515;no;no;unknown;20;jun;40;3;-1;0;unknown;no
55;technician;divorced;secondary;no;61;yes;yes;cellular;25;aug;113;3;-1;0;unknown;no
41;management;married;tertiary;no;140;yes;no;unknown;5;jun;65;3;-1;0;unknown;no
43;management;divorced;tertiary;no;388;yes;no;unknown;8;may;2087;2;-1;0;unknown;yes
49;management;divorced;tertiary;no;2370;yes;yes;unknown;17;nov;56;1;103;2;other;no
32;technician;single;tertiary;no;2185;no;no;cellular;20;nov;354;2;-1;0;unknown;no
34;management;married;tertiary;no;8;no;no;cellular;25;aug;169;4;-1;0;unknown;no
36;services;married;secondary;no;1328;yes;no;unknown;6;jun;82;4;-1;0;unknown;no
58;management;married;tertiary;no;1831;no;no;cellular;17;nov;1531;1;-1;0;unknown;no
45;blue-collar;married;primary;no;13117;no;no;unknown;11;jun;42;2;-1;0;unknown;no
37;management;single;tertiary;no;876;yes;no;cellular;15;apr;140;4;327;2;failure;no
27;blue-collar;married;secondary;yes;-584;yes;no;cellular;7;may;411;2;-1;0;unknown;no
36;blue-collar;married;secondary;no;688;yes;no;unknown;6;may;174;2;-1;0;unknown;no
38;blue-collar;single;secondary;no;578;yes;no;unknown;21;may;112;2;-1;0;unknown;no
41;technician;married;tertiary;no;0;no;no;unknown;20;jun;95;1;-1;0;unknown;no
32;management;married;tertiary;no;2349;no;no;cellular;14;aug;134;5;-1;0;unknown;no
36;admin.;divorced;secondary;no;-37;yes;no;unknown;27;may;151;1;-1;0;unknown;no
50;blue-collar;married;secondary;no;2320;yes;no;cellular;7;apr;310;1;-1;0;unknown;no
34;blue-collar;married;secondary;no;470;yes;yes;cellular;20;apr;217;1;-1;0;unknown;no
80;retired;married;secondary;no;462;no;no;cellular;7;dec;127;2;-1;0;unknown;no
28;technician;single;tertiary;no;183;yes;yes;unknown;28;may;62;2;-1;0;unknown;no
25;student;single;secondary;no;304;no;no;cellular;26;may;226;2;-1;0;unknown;yes
59;management;married;tertiary;no;0;no;no;cellular;27;aug;87;4;-1;0;unknown;no
54;housemaid;married;secondary;no;209;yes;yes;cellular;25;jul;97;1;-1;0;unknown;no
32;blue-collar;single;secondary;no;811;yes;no;cellular;14;may;563;1;-1;0;unknown;yes
83;retired;divorced;primary;no;0;no;no;telephone;31;may;664;1;77;3;success;no
38;management;married;tertiary;no;46;no;no;cellular;29;aug;70;4;-1;0;unknown;no
34;services;single;secondary;no;84;yes;no;unknown;23;may;299;1;-1;0;unknown;no
37;student;married;unknown;no;0;no;no;unknown;18;jun;115;1;-1;0;unknown;no
29;management;married;tertiary;no;581;yes;yes;cellular;14;jul;192;2;-1;0;unknown;no
49;housemaid;married;tertiary;no;443;no;no;cellular;8;aug;27;6;-1;0;unknown;no
42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no
55;management;married;primary;no;2587;no;no;cellular;4;sep;328;2;94;2;success;yes
59;blue-collar;married;primary;no;2814;no;no;unknown;20;jun;81;3;-1;0;unknown;no
58;management;married;tertiary;no;2729;no;no;unknown;18;jun;188;1;-1;0;unknown;no
32;self-employed;married;secondary;no;-33;yes;no;unknown;28;may;234;3;-1;0;unknown;no
40;blue-collar;married;primary;no;98;yes;no;unknown;2;jun;193;5;-1;0;unknown;no
32;management;married;tertiary;no;1667;yes;no;cellular;18;nov;164;2;179;3;failure;no
47;self-employed;married;tertiary;no;2303;yes;no;cellular;6;may;323;2;364;1;failure;no
33;technician;married;secondary;no;0;yes;yes;cellular;19;nov;163;2;-1;0;unknown;no
39;services;married;secondary;no;0;yes;no;cellular;8;may;503;1;-1;0;unknown;no
32;entrepreneur;divorced;secondary;no;1121;yes;yes;cellular;16;apr;211;3;-1;0;unknown;no
38;self-employed;married;secondary;no;279;yes;no;unknown;28;may;110;5;-1;0;unknown;no
50;management;married;tertiary;no;2881;no;no;cellular;5;aug;510;2;2;5;other;no
34;technician;single;secondary;no;179;no;no;cellular;19;aug;294;3;-1;0;unknown;no
41;management;married;tertiary;no;-29;no;no;cellular;29;jan;41;2;266;2;failure;no
32;technician;married;secondary;no;84;no;yes;cellular;29;jul;403;3;-1;0;unknown;no
52;retired;married;secondary;no;603;no;yes;unknown;9;jun;79;1;-1;0;unknown;no
27;blue-collar;single;primary;no;-79;yes;no;unknown;30;may;385;5;-1;0;unknown;no
32;technician;married;secondary;no;3333;no;no;cellular;8;aug;50;4;-1;0;unknown;no
58;admin.;married;secondary;no;3496;yes;no;unknown;2;jun;111;4;-1;0;unknown;no
33;technician;divorced;secondary;yes;10;yes;yes;cellular;18;nov;167;5;-1;0;unknown;no
47;unemployed;married;primary;no;168;yes;no;telephone;30;jan;66;1;241;1;other;no
55;retired;married;primary;no;-966;no;yes;cellular;14;may;104;1;-1;0;unknown;no
38;admin.;married;secondary;no;4196;yes;no;cellular;12;may;193;2;-1;0;unknown;no
23;services;single;secondary;no;500;yes;no;unknown;4;jun;111;3;-1;0;unknown;no
30;services;single;secondary;no;3485;no;no;cellular;2;feb;142;2;-1;0;unknown;no
40;services;married;tertiary;no;35;no;no;cellular;3;jul;318;4;317;3;failure;no
30;admin.;single;secondary;no;1009;yes;no;cellular;29;jan;253;1;-1;0;unknown;no
33;admin.;married;secondary;no;1158;yes;no;cellular;20;apr;25;2;-1;0;unknown;no
40;self-employed;married;tertiary;no;13669;no;no;cellular;15;oct;138;1;136;8;other;no
27;blue-collar;single;primary;no;1128;yes;no;unknown;30;jun;88;4;-1;0;unknown;no
